    26.919    -1.526    -1.818     0.000     0.033     0.000     1.029   130.000
    27.188    -1.527    -1.820     0.000     0.033     0.000     1.029   130.000
    27.457    -1.529    -1.822     0.000     0.033     0.000     1.029   130.000
    27.726    -1.530    -1.824     0.000     0.033     0.000     1.029   130.000
    27.995    -1.531    -1.826     0.000     0.033     0.000     1.029   130.000
    28.265    -1.533    -1.827     0.000     0.033     0.000     1.029   130.000
    28.534    -1.535    -1.829     0.000     0.033     0.000     1.029   130.000
    28.803    -1.536    -1.830     0.000     0.033     0.000     1.029   130.000
    29.072    -1.537    -1.832     0.000     0.033     0.000     1.029   130.000
    29.341    -1.539    -1.834     0.000     0.033     0.000     1.029   130.000
    29.610    -1.540    -1.836     0.000     0.033     0.000     1.029   130.000
    29.880    -1.541    -1.837     0.000     0.033     0.000     1.029   130.000
    30.149    -1.543    -1.838     0.000     0.033     0.000     1.029   130.000
    30.418    -1.544    -1.840     0.000     0.033     0.000     1.029   130.000
    30.687    -1.545    -1.841     0.000     0.033     0.000     1.029   130.000
    30.956    -1.547    -1.843     0.000     0.033     0.000     1.029   130.000
    31.226    -1.548    -1.845     0.000     0.033     0.000     1.029   130.000
    31.495    -1.549    -1.846     0.000     0.033     0.000     1.029   130.000
    31.764    -1.550    -1.847     0.000     0.033     0.000     1.029   130.000
    32.033    -1.551    -1.849     0.000     0.033     0.000     1.029   130.000
    32.302    -1.553    -1.851     0.000     0.033     0.000     1.029   130.000
    32.572    -1.554    -1.852     0.000     0.033     0.000     1.029   130.000
    32.841    -1.555    -1.853     0.000     0.033     0.000     1.029   130.000
    33.110    -1.557    -1.855     0.000     0.033     0.000     1.029   130.000
    33.379    -1.557    -1.856     0.000     0.033     0.000     1.029   130.000
    33.648    -1.559    -1.857     0.000     0.033     0.000     1.029   130.000
    33.917    -1.560    -1.859     0.000     0.033     0.000     1.029   130.000
    34.187    -1.561    -1.861     0.000     0.033     0.000     1.029   130.000
    34.456    -1.562    -1.862     0.000     0.033     0.000     1.029   130.000
    34.725    -1.563    -1.863     0.000     0.033     0.000     1.029   130.000
    34.994    -1.565    -1.865     0.000     0.033     0.000     1.029   130.000
    35.263    -1.566    -1.866     0.000     0.033     0.000     1.029   130.000
    35.533    -1.566    -1.867     0.000     0.033     0.000     1.029   130.000
    35.802    -1.568    -1.869     0.000     0.033     0.000     1.029   130.000
    36.071    -1.569    -1.870     0.000     0.033     0.000     1.029   130.000
    36.340    -1.570    -1.871     0.000     0.033     0.000     1.029   130.000
    36.609    -1.571    -1.873     0.000     0.033     0.000     1.029   130.000
    36.879    -1.572    -1.874     0.000     0.033     0.000     1.029   130.000
    37.148    -1.573    -1.874     0.000     0.033     0.000     1.029   130.000
    37.417    -1.574    -1.876     0.000     0.033     0.000     1.029   130.000
    37.686    -1.575    -1.877     0.000     0.033     0.000     1.029   130.000
    37.955    -1.576    -1.878     0.000     0.033     0.000     1.029   130.000
    38.224    -1.577    -1.880     0.000     0.033     0.000     1.029   130.000
    38.494    -1.578    -1.881     0.000     0.033     0.000     1.029   130.000
    38.763    -1.580    -1.882     0.000     0.033     0.000     1.029   130.000
    39.032    -1.580    -1.884     0.000     0.033     0.000     1.029   130.000
    39.301    -1.582    -1.884     0.000     0.033     0.000     1.029   130.000
    39.570    -1.582    -1.886     0.000     0.033     0.000     1.029   130.000
    39.840    -1.584    -1.887     0.000     0.033     0.000     1.029   130.000
    40.109    -1.584    -1.888     0.000     0.033     0.000     1.029   130.000
    40.378    -1.586    -1.890     0.000     0.033     0.000     1.029   130.000
    40.647    -1.586    -1.890     0.000     0.033     0.000     1.029   130.000
    40.916    -1.588    -1.892     0.000     0.033     0.000     1.029   130.000
    41.185    -1.588    -1.893     0.000     0.033     0.000     1.029   130.000
    41.455    -1.589    -1.894     0.000     0.033     0.000     1.029   130.000
    41.724    -1.590    -1.895     0.000     0.033     0.000     1.029   130.000
    41.993    -1.591    -1.896     0.000     0.033     0.000     1.029   130.000
    42.262    -1.592    -1.898     0.000     0.033     0.000     1.029   130.000
    42.531    -1.593    -1.898     0.000     0.033     0.000     1.029   130.000
    42.801    -1.594    -1.900     0.000     0.033     0.000     1.029   130.000
    43.070    -1.595    -1.901     0.000     0.033     0.000     1.029   130.000
    43.339    -1.596    -1.902     0.000     0.033     0.000     1.029   130.000
    43.608    -1.597    -1.903     0.000     0.033     0.000     1.029   130.000
    43.877    -1.598    -1.904     0.000     0.033     0.000     1.029   130.000
    44.147    -1.598    -1.905     0.000     0.033     0.000     1.029   130.000
    44.416    -1.600    -1.906     0.000     0.033     0.000     1.029   130.000
    44.685    -1.600    -1.907     0.000     0.033     0.000     1.029   130.000
    44.954    -1.601    -1.908     0.000     0.033     0.000     1.029   130.000
    45.223    -1.602    -1.909     0.000     0.033     0.000     1.029   130.000
    45.492    -1.603    -1.910     0.000     0.033     0.000     1.029   130.000
    45.762    -1.604    -1.912     0.000     0.033     0.000     1.029   130.000
    46.031    -1.605    -1.912     0.000     0.033     0.000     1.029   130.000
    46.300    -1.605    -1.913     0.000     0.033     0.000     1.029   130.000
    46.569    -1.606    -1.914     0.000     0.033     0.000     1.029   130.000
    46.838    -1.607    -1.915     0.000     0.033     0.000     1.029   130.000
    47.108    -1.608    -1.916     0.000     0.033     0.000     1.029   130.000
    47.377    -1.609    -1.917     0.000     0.033     0.000     1.029   130.000
    47.646    -1.609    -1.918     0.000     0.033     0.000     1.029   130.000
    47.915    -1.611    -1.919     0.000     0.033     0.000     1.029   130.000
    48.184    -1.611    -1.920     0.000     0.033     0.000     1.029   130.000
